donor_run,recipient_run,num_donor_isnvs,Nb_joint_mle,Nb_presence_absence,status
ERR16054744,ERR16054754,2.0,1.0,1.0,Calculated
ERR16054754,ERR16054752,,,,No Donor iSNVs
ERR16054752,ERR16054748,4.0,16.0,4.0,Calculated
ERR16054836,ERR16054838,1.0,1.0,1.0,Calculated
ERR16054868,ERR16054871,,,,No Donor iSNVs
ERR16054880,ERR16054882,,,,No Donor iSNVs
ERR16054904,ERR16054906,,,,No Donor iSNVs
ERR16054911,ERR16054914,1.0,13.0,40.0,Calculated
ERR16054945,ERR16054950,,,,No Donor iSNVs
ERR16054950,ERR16054948,,,,No Donor iSNVs
ERR16054955,ERR16054957,,,,No Donor iSNVs
ERR16054962,ERR16054965,2.0,1.0,1.0,Calculated
ERR16054982,ERR16054986,1.0,5.0,31.0,Calculated
ERR16055037,ERR16055039,7.0,7.0,12.0,Calculated
ERR16055039,ERR16055043,3.0,26.0,125.0,Calculated
ERR16055088,ERR16055093,4.0,3.0,3.0,Calculated
