pair_id,variant_id,donor_freq,recipient_depth,recipient_count,transmitted,true_nb
Pair_01,Pair_01_var_1,0.4003,2294,0,0,2.0
Pair_01,Pair_01_var_2,0.3033,2638,784,1,2.0
Pair_01,Pair_01_var_3,0.1735,3919,0,0,2.0
Pair_01,Pair_01_var_4,0.0201,1769,0,0,2.0
Pair_02,Pair_02_var_1,0.114,2215,0,0,5.0
Pair_02,Pair_02_var_2,0.3126,4385,1389,1,5.0
Pair_02,Pair_02_var_3,0.3098,4753,1439,1,5.0
Pair_03,Pair_03_var_1,0.262,3879,1028,1,4.0
Pair_03,Pair_03_var_2,0.2307,2297,0,0,4.0
Pair_03,Pair_03_var_3,0.4832,1241,592,1,4.0
Pair_03,Pair_03_var_4,0.1281,4003,541,1,4.0
Pair_03,Pair_03_var_5,0.4556,2955,1330,1,4.0
Pair_04,Pair_04_var_1,0.4851,3777,1806,1,8.0
Pair_04,Pair_04_var_2,0.3664,4342,1606,1,8.0
Pair_05,Pair_05_var_1,0.4238,4820,2031,1,3.0
Pair_05,Pair_05_var_2,0.1477,1379,210,1,3.0
Pair_05,Pair_05_var_3,0.0177,3568,0,0,3.0
Pair_05,Pair_05_var_4,0.1074,2495,255,1,3.0
Pair_05,Pair_05_var_5,0.3972,1378,562,1,3.0
Pair_06,Pair_06_var_1,0.4265,1779,749,1,6.0
Pair_06,Pair_06_var_2,0.1693,3146,525,1,6.0
Pair_06,Pair_06_var_3,0.1976,2485,0,0,6.0
Pair_06,Pair_06_var_4,0.3636,1502,553,1,6.0
Pair_07,Pair_07_var_1,0.0643,3939,236,1,12.0
Pair_07,Pair_07_var_2,0.164,1095,170,1,12.0
Pair_07,Pair_07_var_3,0.2745,1540,417,1,12.0
Pair_07,Pair_07_var_4,0.089,3625,333,1,12.0
Pair_08,Pair_08_var_1,0.4038,4627,1893,1,4.0
Pair_08,Pair_08_var_2,0.0698,2496,0,0,4.0
Pair_08,Pair_08_var_3,0.0639,2400,0,0,4.0
Pair_08,Pair_08_var_4,0.0103,1972,0,0,4.0
Pair_08,Pair_08_var_5,0.0134,2479,0,0,4.0
Pair_09,Pair_09_var_1,0.1188,4890,589,1,5.0
Pair_09,Pair_09_var_2,0.1172,2495,0,0,5.0
Pair_09,Pair_09_var_3,0.1882,2520,461,1,5.0
