donor_run,recipient_run,pos,donor_vaf,recip_vaf,effect,transmitted
ERR16054744,ERR16054754,29200,0.0600358,0.0,N,False
ERR16054744,ERR16054754,29543,0.203645,0.0,N,False
ERR16054752,ERR16054748,2379,0.0393701,0.0435685,N,True
ERR16054752,ERR16054748,28624,0.0737374,0.0,N,False
ERR16054752,ERR16054748,28980,0.309493,0.0,N,False
ERR16054752,ERR16054748,29543,0.205721,0.127984,N,True
ERR16054836,ERR16054838,19542,0.0362812,0.0,N,False
ERR16054911,ERR16054914,29546,0.298096,0.305866,N,True
ERR16054962,ERR16054965,13726,0.462366,0.0,N,False
ERR16054962,ERR16054965,13727,0.117857,0.0,N,False
ERR16054982,ERR16054986,15738,0.364865,0.203425,N,True
ERR16055037,ERR16055039,15738,0.418144,0.104972,N,True
ERR16055037,ERR16055039,18576,0.0356234,0.0,N,False
ERR16055037,ERR16055039,21994,0.169683,0.148515,N,True
ERR16055037,ERR16055039,21995,0.0316176,0.142578,N,True
ERR16055037,ERR16055039,21995,0.161765,0.142578,N,True
ERR16055037,ERR16055039,21997,0.0359965,0.0,N,False
ERR16055037,ERR16055039,29100,0.0424242,0.0,N,False
ERR16055039,ERR16055043,15738,0.104972,0.154324,N,True
ERR16055039,ERR16055043,21994,0.148515,0.181851,N,True
ERR16055039,ERR16055043,21995,0.142578,0.0402943,N,True
ERR16055088,ERR16055093,15738,0.11451,0.364407,N,True
ERR16055088,ERR16055093,16995,0.0759378,0.0,N,False
ERR16055088,ERR16055093,25644,0.0949445,0.0,N,False
ERR16055088,ERR16055093,29095,0.0648276,0.0,N,False
